ItemNumber,Type,PrimaryRegion,Side,Name,OtherRegions,l_tmj_tension,r_tmj_tension,l_jaw_position,r_jaw_position,l_head_weight,r_head_weight,head_tilt_sagittal,l_ear_shoulder,r_ear_shoulder,l_neck_tilt,r_neck_tilt,l_neck_rotation,r_neck_rotation,neck_forward,l_shoulder_height,r_shoulder_height,l_shoulder_forward,r_shoulder_forward,l_scapula_position,r_scapula_position,l_scapula_winging,r_scapula_winging,l_pec_tension,r_pec_tension,l_ribcage_position,r_ribcage_position,l_breathing_pattern,r_breathing_pattern,l_thoracic_rotation,r_thoracic_rotation,l_thoracic_tension,r_thoracic_tension,l_thoracic_flexibility,r_thoracic_flexibility,thoracic_curve,l_lumbar_tension,r_lumbar_tension,l_lumbar_rotation,r_lumbar_rotation,l_lumbar_sidebend,r_lumbar_sidebend,lumbar_curve,l_upper_abs,r_upper_abs,l_lower_abs,r_lower_abs,l_obliques,r_obliques,l_si_joint,r_si_joint,l_psis_height,r_psis_height,l_asis_height,r_asis_height,l_hip_rotation,r_hip_rotation,l_hip_height,r_hip_height,l_hip_shift,r_hip_shift,l_glute_tone,r_glute_tone,l_hip_flexor,r_hip_flexor,l_knee_alignment,r_knee_alignment,l_knee_rotation,r_knee_rotation,l_patella_tracking,r_patella_tracking,l_knee_hyperext,r_knee_hyperext,l_q_angle,r_q_angle,l_ankle_position,r_ankle_position,l_arch_height,r_arch_height,l_foot_rotation,r_foot_rotation,l_toe_position,r_toe_position,l_heel_callus,l_heel_callus_pos,r_heel_callus,r_heel_callus_pos,l_forefoot_callus,l_forefoot_callus_pos,r_forefoot_callus,r_forefoot_callus_pos,l_heel_pressure,r_heel_pressure,l_forefoot_pressure,r_forefoot_pressure,l_lateral_pressure,r_lateral_pressure,l_medial_pressure,r_medial_pressure,l_single_leg,r_single_leg,l_weight_shift,r_weight_shift,l_arm_raising,r_arm_raising,squat_symmetry,gait_symmetry,,l_upper_pain,r_upper_pain,l_lower_pain,r_lower_pain
66,MUSCLE,Shoulder Girdle & Scapular Region,Left,Rhomboid Major,[Thoracic Region],,,,,,,,,,,,,,,-0.55,0.55,-0.2,0.2,-0.05,0.05,-0.05,0.05,0.2,,, ,,,,,-0.5,,-0.5,,0.6,,,,-0.1,,-0.1,-0.1,0.1,,0.1,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.7,0.3,,  
67,MUSCLE,Shoulder Girdle & Scapular Region,Right,Rhomboid Major,[Thoracic Region],,,,,,,,,,,,,,,0.55,-0.55,0.2,-0.2,0.05,-0.05,0.05,-0.05,,0.2, ,, ,,,,,-0.5,,-0.5,0.6,,,-0.1,,,-0.1,-0.1,,0.1,,0.1,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.3,0.7,,
68,MUSCLE,Shoulder Girdle & Scapular Region,Left,Rhomboid Minor,[Cervical Region : Thoracic Region],,,,,,,,,,,,,,,-0.4,0.4,-0.1,0.1,-0.1,0.1,-0.05,0.05,,,,,,,,,-0.4,,-0.4,,0.5,,,,-0.1,,-0.1,-0.1,0.06,,0.06,,0.05,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.3,,     
69,MUSCLE,Shoulder Girdle & Scapular Region,Right,Rhomboid Minor,[Cervical Region : Thoracic Region],,,,,,,,,,,,,,,0.4,-0.4,0.1,-0.1,0.1,-0.1,0.05,-0.05,,,,,,,,,,-0.4,,-0.4,0.5,,,-0.1,,,-0.1,-0.1,,0.06,,0.06,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.7,,
70,MUSCLE,Shoulder Girdle & Scapular Region,Left,Serratus Anterior,[Thoracic Region],,,,,,,,,,,,,,,-0.1,0.1,-0.6,0.6,0.15,-0.15,-0.25,0.25,-0.4,,,-0.15,-0.15,,,,-0.3,,-0.3,,,,,,-0.1,,-0.1,-0.1,-0.1,,,-0.1,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,       ,,0.7,0.3,,  
71,MUSCLE,Shoulder Girdle & Scapular Region,Right,Serratus Anterior,[Thoracic Region],,,,,,,,,,,,,,,0.1,-0.1,0.6,-0.6,-0.15,0.15,0.25,-0.25,,-0.4,,-0.15,,-0.15,,,,-0.3,,-0.3,,,,-0.15,,,-0.15,-0.15,,,-0.1,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.3,0.7,,
72,MUSCLE,Shoulder Girdle & Scapular Region,Left,Supraspinatus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,-0.15,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
73,MUSCLE,Shoulder Girdle & Scapular Region,Right,Supraspinatus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,-0.15,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
74,MUSCLE,Shoulder Girdle & Scapular Region,Left,Infraspinatus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,-0.15,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
75,MUSCLE,Shoulder Girdle & Scapular Region,Right,Infraspinatus,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,-0.15,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
76,MUSCLE,Shoulder Girdle & Scapular Region,Left,Teres Minor,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,-0.15,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
77,MUSCLE,Shoulder Girdle & Scapular Region,Right,Teres Minor,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,-0.15,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
78,MUSCLE,Shoulder Girdle & Scapular Region,Left,Subscapularis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,-0.15,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
79,MUSCLE,Shoulder Girdle & Scapular Region,Right,Subscapularis,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,-0.15,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
80,MUSCLE,Shoulder Girdle & Scapular Region,Left,Pectoralis Minor,[Thoracic Region],,,,,,,,,,,,,,,,-0.05,-0.55,0.55,-0.1,0.1,-0.05,0.05,-0.8,,-0.2,,-0.3,,,,-0.6,,-0.6,,-0.6,,,,-0.15,,-0.15,-0.15,-0.15,,,-0.15,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,          ,,-0.7,-0.3,,     
81,MUSCLE,Shoulder Girdle & Scapular Region,Right,Pectoralis Minor,[Thoracic Region],,,,,,,,,,,,,,,0.05,,0.55,-0.55,0.1,-0.1,0.05,-0.05,,-0.8,,-0.2,,-0.3,,,,-0.6,,-0.6,-0.6,,,-0.15,,,-0.15,-0.15,,,-0.15,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,-0.3,-0.7,,
82,MUSCLE,Shoulder Girdle & Scapular Region,Left,Pectoralis Major,[Thoracic Region : Abdominal & Core Region],,,,,,,,,,,,,,,-0.1,0.1,-0.25,0.25,, ,,,-0.85,,-0.15,,-0.25,,,,-0.4,,-0.4,,-0.4,,,,-0.15,,-0.15,-0.15,-0.5,,,-0.5,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-0.3,,    
83,MUSCLE,Shoulder Girdle & Scapular Region,Right,Pectoralis Major,[Thoracic Region : Abdominal & Core Region],,,,,,,,,,,,,,,0.1,-0.1,0.25,-0.25,, ,,,,-0.85,,-0.15,,-0.25,,,,-0.4,,-0.4,-0.4,,,-0.2,,,-0.2,-0.2,,,-0.5,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.7,,
84,MUSCLE,Shoulder Girdle & Scapular Region,Left,Latissimus Dorsi,[Thoracic Region : Lumbar & Lower Back Region : Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,-0.15,0.15,-0.15,0.15,-0.1,0.1,, ,-0.3,,,,-0.1,,,,-0.3,,-0.3,,0.2,,,,-0.2,,-0.2,-0.2,-0.3,,,-0.4,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
85,MUSCLE,Shoulder Girdle & Scapular Region,Right,Latissimus Dorsi,[Thoracic Region : Lumbar & Lower Back Region : Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,0.15,-0.15,0.15,-0.15,0.1,-0.1,, ,,-0.3,, , ,-0.1,,,,-0.3,,-0.3,0.2,,,,,,,,,,-0.4,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
86,FASCIA,Shoulder Girdle & Scapular Region,Left,Brachial Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.05,-0.1,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
87,FASCIA,Shoulder Girdle & Scapular Region,Right,Brachial Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,-0.2,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
88,FASCIA,Shoulder Girdle & Scapular Region,Left,Axillary Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
89,FASCIA,Shoulder Girdle & Scapular Region,Right,Axillary Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,-0.2,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
90,MUSCLE,Thoracic Region,Left,Iliocostalis Thoracis,[Lumbar & Lower Back Region],,,,,,,,,,,,,,,,,,,,,,,-0.15,,-0.1,,,-0.05,0.5,0.5,-0.7,-0.7,-0.6,-0.6,0.7,,-0.3,,,,-0.2,-0.2,0.4,,0.4,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
91,MUSCLE,Thoracic Region,Right,Iliocostalis Thoracis,[Lumbar & Lower Back Region],,,,,,,,,,,,,,,,,,,,,,,,-0.15,,-0.1,,-0.05,0.5,0.5,-0.7,-0.7,-0.6,-0.6,0.7,-0.3,,,,-0.2,,-0.2,,0.4,,0.4,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
92,MUSCLE,Thoracic Region,Left,Longissimus Thoracis,[Lumbar & Lower Back Region],,,,,,,,,,,,,,,,,,,,,,,-0.15,,-0.1,,,-0.05,0.5,0.5,-0.7,-0.7,-0.6,-0.6,0.7,,-0.3,,,,-0.2,-0.2,0.4,,0.4,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
93,MUSCLE,Thoracic Region,Right,Longissimus Thoracis,[Lumbar & Lower Back Region],,,,,,,,,,,,,,,,,,,,,,,,-0.15,,-0.1,,-0.05,0.5,0.5,-0.7,-0.7,-0.6,-0.6,0.7,-0.3,,,,-0.2,,-0.2,,0.4,,0.4,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
94,MUSCLE,Thoracic Region,Left,Spinalis Thoracis,[Lumbar & Lower Back Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,-0.7,-0.7,-0.6,-0.6,0.7,,-0.3,,,,-0.2,-0.2,0.4,,0.4,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
95,MUSCLE,Thoracic Region,Right,Spinalis Thoracis,[Lumbar & Lower Back Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,-0.7,-0.7,-0.6,-0.6,0.7,-0.3,,,,-0.2,,-0.2,,0.4,,0.4,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
96,MUSCLE,Thoracic Region,Left,Multifidus (Thoracic),[Lumbar & Lower Back Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,-0.7,-0.7,-0.6,-0.6,0.7,,-0.3,,,,-0.2,-0.2,0.35,,0.35,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
97,MUSCLE,Thoracic Region,Right,Multifidus (Thoracic),[Lumbar & Lower Back Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,-0.7,-0.7,-0.6,-0.6,0.7,-0.3,,,,-0.2,,-0.2,,0.35,,0.35,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
98,MUSCLE,Thoracic Region,Left,Serratus Posterior Superior,[Cervical Region],,,,,,,,,,,,,,,,,,,,,,,-0.1,,-0.15,,,-0.05,0.4,0.4,-0.6,-0.6,-0.5,-0.5,0.6,,-0.3,,,,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
99,MUSCLE,Thoracic Region,Right,Serratus Posterior Superior,[Cervical Region],,,,,,,,,,,,,,,,,,,,,,,,-0.1,,-0.15,,-0.05,0.4,0.4,-0.6,-0.6,-0.5,-0.5,0.6,-0.3,,,,-0.2,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
100,MUSCLE,Thoracic Region,Left,Serratus Posterior Inferior,[Lumbar & Lower Back Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,-0.6,-0.6,-0.5,-0.5,0.6,,-0.3,,,,-0.2,-0.2,,0.08,,0.08,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
101,MUSCLE,Thoracic Region,Right,Serratus Posterior Inferior,[Lumbar & Lower Back Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,-0.6,-0.6,-0.5,-0.5,0.6,-0.3,,,,-0.2,,-0.2,0.08,,0.08,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
102,MUSCLE,Thoracic Region,Left,Intercostal Muscles,[],,,,,,,,,,,,,,,,,,,,,,,-0.45,,-0.2,,-0.25,,0.3,0.3,-0.5,-0.5,-0.4,-0.4,0.5,,-0.3,,,,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
103,MUSCLE,Thoracic Region,Right,Intercostal Muscles,[],,,,,,,,,,,,,,,,,,,,,,,,-0.45,,-0.2,,-0.25,0.3,0.3,-0.5,-0.5,-0.4,-0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
104,FASCIA,Thoracic Region,Left,Thoracolumbar Fascia (Upper Portion),[Lumbar & Lower Back Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
105,FASCIA,Thoracic Region,Right,Thoracolumbar Fascia (Upper Portion),[Lumbar & Lower Back Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
106,FASCIA,Thoracic Region,Left,Costal Pleura & Intercostal Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
107,FASCIA,Thoracic Region,Right,Costal Pleura & Intercostal Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,,,-0.2,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
108,MUSCLE,Abdominal & Core Region,Left,Rectus Abdominis,[Thoracic Region : Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,-0.1,,-0.05,,-0.1,,0.3,0.3,,,,,0.3,,-0.4,,,,-0.2,-0.3,-0.9,,,-0.9,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7
109,MUSCLE,Abdominal & Core Region,Right,Rectus Abdominis,[Thoracic Region : Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,,-0.1,,-0.05,,-0.1,0.3,0.3,,,,,0.3,-0.4,,,,-0.2,,-0.3,,,-0.9,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7
110,MUSCLE,Abdominal & Core Region,Left,External Oblique,[Thoracic Region : Lumbar & Lower Back Region : Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,-0.25,,-0.15,,-0.2,,0.4,0.4,,,,,0.4,,-0.4,,,,-0.2,-0.3,-0.8,,,-0.8,,-0.85,0.15,0.05,0.1,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,0.2,,,,0.2,0.2,,,,0.7,0.7
111,MUSCLE,Abdominal & Core Region,Right,External Oblique,[Thoracic Region : Lumbar & Lower Back Region : Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,,-0.25,,-0.15,,-0.2,0.4,0.4,,,,,0.4,-0.4,,,,-0.2,,-0.3,,,-0.8,,,-0.85,0.05,0.15,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,0.2,,,-0.2,-0.2,,,,0.7,0.7
112,MUSCLE,Abdominal & Core Region,Left,Internal Oblique,[Thoracic Region : Lumbar & Lower Back Region : Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,,,,,0.2,,-0.4,,,,-0.2,-0.3,-0.8,,,-0.8,,-0.85,0.25,0.1,0.15,,0.05,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,0.2,,,,0.2,0.2,,,,0.7,0.7
113,MUSCLE,Abdominal & Core Region,Right,Internal Oblique,[Thoracic Region : Lumbar & Lower Back Region : Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,,,,,0.2,-0.4,,,,-0.2,,-0.3,,,-0.8,,,-0.85,0.1,0.25,,0.15,0.05,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,0.2,,,-0.2,-0.2,,,,0.7,0.7
114,MUSCLE,Abdominal & Core Region,Left,Transversus Abdominis,[Thoracic Region : Lumbar & Lower Back Region : Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,-0.1,,,-0.05,-0.1,,0.3,0.3,,,,,0.2,,-0.4,,,,-0.2,-0.3,-0.6,,,-0.6,,-0.55,-0.1,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7
115,MUSCLE,Abdominal & Core Region,Right,Transversus Abdominis,[Thoracic Region : Lumbar & Lower Back Region : Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,,-0.1,,-0.05,,-0.1,0.3,0.3,,,,,0.2,-0.4,,,,-0.2,,-0.3,,,-0.6,,,-0.55,,-0.1,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7
116,MUSCLE,Abdominal & Core Region,Left,Diaphragm,[Thoracic Region : Lumbar & Lower Back Region],,,,,,,,,,,,,,,,,,,,,,,-0.2,,-0.1,,-0.25,,,,,,,,,,-0.4,,,,-0.2,-0.3,-0.3,,,-0.3,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7
117,MUSCLE,Abdominal & Core Region,Right,Diaphragm,[Thoracic Region : Lumbar & Lower Back Region],,,,,,,,,,,,,,,,,,,,,,,,-0.2,,-0.1,,-0.25,,,,,,,,,,,,,,,,,-0.3,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7
118,MUSCLE,Abdominal & Core Region,Left,Pelvic Floor (Levator Ani Group),[Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7
119,MUSCLE,Abdominal & Core Region,Right,Pelvic Floor (Levator Ani Group),[Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7
120,MUSCLE,Abdominal & Core Region,Left,Coccygeus,[Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7
121,MUSCLE,Abdominal & Core Region,Right,Coccygeus,[Pelvic Girdle & Hip Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7
122,FASCIA,Abdominal & Core Region,Center,Linea Alba,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
123,FASCIA,Abdominal & Core Region,Left,Rectus Sheath,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
124,FASCIA,Abdominal & Core Region,Right,Rectus Sheath,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
125,FASCIA,Abdominal & Core Region,Left,Transversalis Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
126,FASCIA,Abdominal & Core Region,Right,Transversalis Fascia,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
127,FASCIA,Abdominal & Core Region,Center,Central Tendon of Diaphragm,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,,-0.4,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
128,MUSCLE,Lumbar & Lower Back Region,Left,Iliocostalis Lumborum,[Thoracic Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,-0.8,,,,-0.4,-0.5,0.4,,0.4,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,    
129,MUSCLE,Lumbar & Lower Back Region,Right,Iliocostalis Lumborum,[Thoracic Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-0.8,,,,-0.4,,-0.5,,0.4,,0.4,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7
130,MUSCLE,Lumbar & Lower Back Region,Left,Longissimus Lumborum,[Thoracic Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,-0.8,,,,-0.4,-0.5,0.4,,0.4,,0.3,,-0.1,-0.05,-0.2,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,    
