Number,Name,Side,How to Do It,Alignment Cues,Primary Focus Areas,What to Feel,Variations for Different Curvatures,Adaptations,Outcome & Benefits,Feedback Indicators
46,Virabhadrasana I,Left,"Stand with your left foot forward and right foot back. Bend the left knee so it is directly above the ankle, square your hips forward, and raise your arms overhead with palms facing each other. Gaze upward.",Ensure the left knee tracks over the ankle and the hips remain squared; maintain an upright torso with a long spine.,"Left leg strength, hip alignment, and chest opening.",Feel a powerful stretch in the left hip flexors with strong engagement in the left leg and an open chest.,"If the left side is overly tight, reduce the depth of the bend or adjust the hip alignment to promote symmetry.",Use a wall for support or lessen the knee bend if balance is an issue.,"Enhances lower body strength, improves balance, and promotes proper left-side alignment.","A balanced posture with a strong, aligned left knee and even chest opening indicates correct form."
47,Virabhadrasana II,Right,Stand with your right foot forward and left foot turned out. Bend the right knee so it is directly above the ankle. Extend your arms horizontally—with the right arm forward and the left arm back—and gaze over the right hand.,"Keep the right knee aligned with the ankle, with hips open and shoulders relaxed; maintain a long spine.","Right leg strength, core stability, and lateral chest opening.",Feel an intense stretch in the right thigh and hip with robust engagement in the core and arms.,"If the right side is overstretched, reduce the depth of the bend and adjust arm positioning to maintain symmetry.",Use a block under the right hand for support if needed and ensure even weight distribution.,"Strengthens the lower body, improves balance, and enhances alignment on the right side.",A stable Warrior II with an evenly bent right knee and controlled arm extension indicates proper execution.
48,Virabhadrasana II,Left,Stand with your left foot forward and right foot turned out. Bend the left knee so it is directly above the ankle. Extend your arms horizontally—with the left arm forward and the right arm back—and gaze over the left hand.,Ensure the left knee is aligned over the ankle and the hips remain squared; keep the chest open with a long spine.,"Left leg strength, hip stability, and core engagement.",Experience a strong stretch in the left thigh and hip with steady core support and energizing arm extension.,"If the left side is constrained by scoliosis, slightly modify the depth of the bend to promote symmetry.",Support the pose with a block under the left hand if balance is compromised.,"Improves lower body strength, balance, and stability, promoting even muscle engagement on the left side.","A well-aligned left knee, balanced hips, and a clear stretch across the left side indicate correct form."
49,Virabhadrasana III,Right,"Shift your weight onto your right leg. Hinge forward at the hips while extending your left leg back and reaching your arms forward, forming a straight line from your head to the extended left foot.","Keep your right leg engaged and stable, with a long, flat spine and level hips. Focus your gaze forward to help maintain balance.","Right leg strength, core stability, and balance.","Feel deep activation in the right supporting leg and a stretching sensation in the extended left leg, with focused core engagement.","If balance is affected by scoliosis, slightly bend the supporting leg or allow a micro-bend in the extended leg to maintain symmetry.",Practice near a wall or use a spotter until balance improves.,"Enhances balance, strengthens the core and lower body, and builds proprioceptive awareness through controlled inversion.","A level, straight body line with stable support on the right leg and evenly extended left leg indicates proper execution."
50,Virabhadrasana III,Left,"Shift your weight onto your left leg. Hinge forward at the hips while extending your right leg back and reaching your arms forward, creating a straight line from your head to the extended right foot.",Ensure your left leg is firmly engaged with a flat spine and level hips. Maintain a focused gaze to aid balance.,"Left leg strength, core stability, and overall balance.","Experience strong activation in the left supporting leg and a stretching sensation in the extended right leg, with controlled core engagement.","If imbalance occurs due to scoliosis, allow a slight bend in the supporting leg or adjust the extension to keep the body aligned.",Practice near a wall or with a spotter until full balance is achieved.,"Improves balance and core strength, reinforcing proper alignment and enhancing stability on the left side.","A consistent, straight alignment with a stable left leg and balanced extension of the right leg signifies correct execution."
51,Ardha Chandrasana,Right,"From Tadasana, shift your weight onto the right leg. Extend the left leg straight out to the side. Hinge at the right hip and lean toward the right, simultaneously raising the right arm straight upward while the left arm may rest lightly on the right leg or on a block.","Keep the right leg firmly grounded, maintain level hips, and ensure your torso remains in a straight line. Gaze upward toward the extended right arm.","Right leg strength, balance, and lateral stretch of the left side.",Feel a deep stretch along the left side of your torso while the right leg supports your balance and core remains engaged.,"If scoliosis causes asymmetry, adjust the placement of the left hand on the right leg to moderate the stretch.",Use a yoga block under the left hand for additional support if needed.,"Enhances balance, strengthens the right leg, and increases lateral flexibility while promoting spinal alignment.",A mirror check should reveal even hip alignment and a balanced stretch on the right side with the left side gently lengthened.
52,Ardha Chandrasana,Left,"Begin in Tadasana, then shift your weight onto the left leg. Extend the right leg straight out to the side. Hinge at the left hip to lean toward the left, lifting the left arm straight upward while the right arm rests along the right leg or on a block.",Keep the left leg stable with level hips; ensure your spine is long and look upward toward the extended left arm.,"Left leg stability, core engagement, and lateral stretching of the right side.",Feel a pronounced stretch along the right side of the torso with a firm grounding in the left leg.,"If scoliosis creates imbalance, adjust the right hand’s placement along the left leg to control the intensity.",Use a block under the right hand if necessary to maintain proper alignment.,"Improves balance and lateral flexibility on the left side, strengthens the supporting leg, and promotes even stretching.","A balanced, even stretch on the left side with stable support in the left leg confirms proper execution."
53,Parsvakonasana,Right,"Stand with your feet wide apart. Place the right foot forward and bend the right knee, keeping it aligned over the ankle. Extend the right arm upward and lower the right hand to the outer edge of the right foot (or a block) while the left arm extends overhead toward the back.","Keep the right knee directly above the ankle, with hips square and chest open. Ensure your torso is aligned and the stretch is focused on the right side.","Right leg strength, right hip flexibility, and lateral torso opening.","Feel a deep, sustained stretch along the right side of the torso with firm support from the right leg.","If scoliosis causes one side to feel more tense, modify by adjusting the block height to achieve symmetry.",Place a block under the right hand to help control the depth of the pose if needed.,"Enhances lateral flexibility, strengthens the right leg and hip, and promotes balanced opening of the chest.","A balanced, even stretch with firm knee alignment and clear lateral opening on the right side indicates proper form."
54,Parsvakonasana,Left,"Stand with your feet wide apart. Position the left foot forward, bending the left knee so it stays over the ankle. Lower the left hand onto the outer edge of the left foot (or a block) while extending the right arm upward over the back.","Ensure the left knee is aligned with the ankle, with the hips squared and the chest open. Maintain a long, straight spine.","Left leg strength, left hip flexibility, and lateral stretch of the torso.","Experience a strong, consistent stretch along the left side of the torso with support from the left leg.","If scoliosis affects symmetry, adjust the block under the left hand to regulate the intensity of the stretch.",Use a block under the left hand if additional support is necessary for balance.,"Improves flexibility and strength on the left side, promotes even chest opening, and enhances lower body stability.",A well-balanced stretch with even weight distribution on the left side and proper knee alignment indicates correct execution.
55,Parivritta Parsvakonasana,Right,"From a right Parsvakonasana, rotate your torso further by bringing your left hand across to the outside of your right foot (or to a block) while extending your right arm upward. Initiate the twist from the hips while keeping the right knee bent.","Maintain the right knee's alignment over the ankle and keep your hips squared. Ensure the twist is initiated from the waist, not just the upper body.","Right leg stability, core rotational strength, and oblique stretching.","Feel a deep, twisting stretch across the right side of the torso with firm activation in the core and obliques.","If scoliosis causes uneven twisting, adjust the degree of the twist to keep the movement symmetric.",Use a block under the left hand to control the twist and provide support if needed.,Practice slowly with controlled movements to ensure the twist originates from the hips.,"Improves spinal rotation, strengthens the obliques, and increases lateral flexibility on the right side while promoting balance."
56,Parivritta Parsvakonasana,Left,Stand with your left foot forward and right foot turned out. Bend the left knee while keeping the right leg straight. Rotate your torso to the left by bringing your right hand across to the outer edge of your left foot (or to a block) while extending your left arm upward. Initiate the twist from the hips.,Keep the left knee aligned with the ankle and ensure the hips remain squared. Maintain a long spine and a controlled twist.,"Left leg stability, core rotation, and oblique stretch.",Feel a deep twisting stretch along the left side of the torso with firm core activation.,"If the left side is overly tense, reduce the twist or support your right hand with a block to moderate the intensity.",Practice near a wall or with a spotter until balance improves.,"Improves spinal rotation, strengthens obliques, and increases lateral flexibility on the left side.","A balanced, controlled twist with even stretch on the left torso indicates proper alignment."
57,Parighasana,Right,"Stand with your feet together or slightly apart. Inhale to raise your right arm overhead, then exhale and lean to the right, allowing the right side of your body to lengthen. Let your right arm extend upward while your left hand rests by your side or lightly on your hip.","Maintain a vertical torso, keep the right shoulder down and relaxed, and ensure your hips remain level.",Right side lateral stretch and oblique lengthening.,Feel a pronounced stretch along the right side of your torso with balanced engagement of your core.,"If the stretch feels uneven, adjust your bend or the placement of your left hand to achieve symmetry.",Use a wall for support if balance is an issue.,Enhances lateral flexibility and helps open the right side of the body while stabilizing the core.,"A balanced, comfortable stretch on the right side with even body alignment confirms proper execution."
58,Parighasana,Left,"Stand with your feet together or slightly apart. Inhale to raise your left arm overhead, then exhale and lean to the left, allowing the left side of your body to lengthen. Let your left arm extend upward while your right hand rests by your side or on your hip.",Keep your torso vertical and your left shoulder relaxed away from your ear; ensure the hips remain level.,Left side lateral stretch and oblique lengthening.,"Experience a deep, even stretch along the left side of the torso with balanced core engagement.","If the stretch is too intense, adjust your lean or modify arm placement to achieve symmetry.",Perform near a wall for added support if necessary.,Increases lateral flexibility and promotes an even stretch along the left side of the body.,A balanced stretch with even support on the left side and proper alignment indicates success.
59,Anjaneyasana,Right,"Step forward with your right foot into a lunge, keeping the left knee on the mat. Ensure your right knee is directly above your ankle. Inhale, raise your arms overhead, and gently arch the upper body while keeping the hips squared.",Keep the right knee aligned over the ankle and the hips level. Maintain a long spine and open chest throughout the pose.,"Right leg strength, hip flexor stretch, and chest opening.","Feel a deep, energizing stretch in the right hip and thigh along with firm core engagement.","If the lunge feels too intense, lower the height of the raised arms or slightly reduce the arch.",Use a cushion under the left knee if needed for comfort.,"Enhances flexibility and strength in the right leg, improves balance, and promotes proper hip alignment.","A strong, balanced lunge with even chest opening and no undue strain on the right knee indicates correct form."
60,Anjaneyasana,Left,"Step forward with your left foot into a lunge, keeping the right knee on the mat. Ensure your left knee is directly above your ankle. Inhale, raise your arms overhead, and gently arch the upper body while keeping the hips squared.",Maintain proper alignment with the left knee over the ankle and hips level; keep the spine long and the chest open.,"Left leg strength, hip flexor stretch, and overall balance.","Feel a deep, balanced stretch in the left hip with strong support from the left leg and an open chest.","If the stretch is too strong, lower your arms or slightly reduce the arch to maintain symmetry.",Place a cushion under the right knee if necessary to enhance comfort.,"Improves flexibility and strength in the left leg, promotes balance, and enhances hip alignment.",A balanced lunge with even activation and no pain indicates proper execution.
61,Hanumanasana,Right,"From a kneeling lunge, extend the right leg forward while sliding the left leg back gradually to achieve a full split. Keep the hips squared and the torso upright.",Ensure the right knee is aligned over the ankle and the hips remain level; maintain a long spine throughout the movement.,"Right hamstrings, hip flexors, and lower back.","Feel a deep, controlled stretch in the right hamstring and hip flexor with strong core support.","If scoliosis causes imbalance on the right, reduce the depth of the split or use props to support the hips.",Use yoga blocks or a cushion under the hips; practice a half-split variation until full flexibility is achieved.,"Enhances flexibility of the right leg, opens the hip, and promotes balanced lower-body alignment.","A consistent, deep stretch on the right with even hip alignment and no pain confirms proper execution."
62,Hanumanasana,Left,"From a kneeling lunge, extend the left leg forward while sliding the right leg back to form a full split. Ensure the hips remain squared and the torso stays upright.",Keep the left knee directly over the ankle and maintain level hips; engage the core and lengthen the spine.,"Left hamstrings, hip flexors, and lower back.",Feel a deep stretch in the left hamstring and hip flexor with controlled activation of the core.,"If the left side feels overly strained, adjust the depth of the split or use supportive props.",Employ blocks or cushions under the hips or practice a modified half-split to build flexibility gradually.,"Improves left leg flexibility, deepens hip opening, and supports balanced alignment.","A steady, even stretch on the left with balanced support and no discomfort indicates proper form."
63,Eka Pada Rajakapotasana,Right,"Begin in a kneeling lunge with the right leg forward. Bend the right knee and draw the right foot toward the left hip while extending the left leg back. Optionally, incorporate a gentle backbend by lifting the chest.",Ensure the right knee remains over the ankle and the hips stay square. Keep the spine long and controlled during the backbend.,"Right hip opener, glutes, and lower back.",Feel a pronounced opening in the right hip with a gentle stretch in the glutes and a subtle backbend.,"If deep backbend is challenging due to scoliosis, perform a milder version focusing solely on hip opening.",Use a block under the right hip or omit the backbend to reduce intensity.,"Improves right hip flexibility, releases tension in the glutes, and aids balanced pelvic alignment.","A controlled, even opening in the right hip with minimal discomfort indicates correct execution."
64,Eka Pada Rajakapotasana,Left,"From a kneeling lunge, bend the left knee and bring the left foot toward the right hip while extending the right leg back. Optionally, lift the chest into a gentle backbend for added stretch.",Maintain the left knee’s alignment over the ankle and keep the hips squared; ensure the spine remains elongated and stable.,"Left hip opener, glutes, and lower back.",Experience a deep stretch in the left hip and glutes with a gentle backbend that opens the chest.,"If scoliosis limits the depth, reduce the backbend or focus on hip opening alone.",Use a block under the left hip for support or perform the pose without the backbend if needed.,"Enhances left hip flexibility, alleviates glute tension, and promotes balanced pelvic alignment.","A steady, symmetrical hip opening with controlled backbend and no sharp pain confirms proper form."
65,Gomukhasana,Right,"Sit on the floor with legs extended. Cross the right leg over the left so that the right knee stacks above the left, bringing the right foot to rest near the left hip. Reach the left arm over the right shoulder and the right arm behind the back to clasp hands or hold a strap.",Maintain an upright spine with shoulders relaxed; ensure the right knee remains properly stacked over the left and the chest is open.,"Right shoulder, upper back, and right hip stretch.",Feel a deep stretch in the right shoulder and upper back with a gentle opening in the right hip.,"If scoliosis causes asymmetry, adjust the arm positioning to ensure a balanced stretch without overstraining one side.",Use a yoga strap to bridge the gap if the hands do not meet; modify the twist to suit your comfort level.,"Improves flexibility in the shoulders and upper back, increases hip mobility, and promotes balanced upper-body posture.","A controlled, even twist with balanced shoulder and hip alignment and no discomfort indicates proper execution."
66,Gomukhasana,Left,"Sit on the floor with legs extended. Cross the left leg over the right so that the left knee stacks above the right, bringing the left foot near the right hip. Reach the right arm over the left shoulder and the left arm behind your back to clasp hands or hold a strap.",Keep the spine upright and shoulders relaxed. Ensure the left knee is neatly stacked over the right and the chest remains open.,"Left shoulder, upper back, and left hip.",Feel a deep stretch in the left shoulder and upper back with an opening across the left hip.,"If scoliosis causes uneven tension, adjust the arm reach to balance the stretch.","Use a yoga strap if the hands do not meet, or modify by reducing the twist.","Improves flexibility in the shoulders and upper back, enhances hip mobility, and promotes balanced upper-body posture.",A symmetrical stretch on the left side with balanced shoulder and hip alignment indicates proper form.
67,Bharadvajasana,Right,"Sit in a comfortable position with legs extended or crossed. For the right variation, keep your right leg extended and, if needed, slightly bend the left leg. Place your left hand on your right knee and your right hand on the floor behind you. Twist your torso to the right.",Keep your spine straight and shoulders relaxed. Ensure the twist originates from the waist with hips squared.,"Right obliques, spine, and hip rotation.",Feel a gentle twist along the torso with a stretching sensation in the right oblique muscles.,"Adjust the twist depth if scoliosis limits your range of motion, ensuring controlled movement.",Use a cushion behind the back for support or shorten the twist if necessary.,"Enhances spinal mobility, strengthens the core, and promotes balanced rotational flexibility.",An even twist with a balanced stretch along the right side indicates proper execution.
68,Bharadvajasana,Left,"Sit comfortably with legs extended or crossed. For the left variation, keep your left leg extended. Place your right hand on your left knee and your left hand on the floor behind you. Twist your torso to the left.","Maintain a long, straight spine and avoid over-twisting; ensure your hips remain squared and the twist comes from the waist.","Left obliques, spine, and hip rotation.",Experience a controlled twist with a mild stretch in the left oblique muscles and a release in the lower back.,Modify the twist depth as needed if scoliosis limits your rotational range.,Support the twist by placing a cushion behind the back if necessary.,"Improves flexibility in the spine and obliques, strengthens core muscles, and promotes balanced rotation.","A balanced, smooth twist with even tension along the left side confirms proper form."
69,Marichyasana I,Right,"Sit on the floor with legs extended. Bend your right knee and place the right foot flat near the left thigh while keeping the left leg extended. Inhale to lengthen the spine, then exhale and twist to the right by bringing the left elbow to the outside of the right knee while gazing over the right shoulder.",Keep the spine long and shoulders relaxed; ensure the right knee stays aligned over the ankle and the twist originates from the hips.,"Right hip, obliques, and spinal rotation.","Feel a deep twist in the torso with a pronounced stretch along the right side, particularly near the hip.","If scoliosis restricts the twist, lessen the rotation to maintain comfort and symmetry.",Place a block between the knee and elbow if full contact is challenging.,"Enhances spinal flexibility, stimulates abdominal organs, and promotes balanced rotational strength.","A smooth, controlled twist with even tension along the right side indicates proper form."
70,Marichyasana I,Left,"Sit on the floor with legs extended. Bend your left knee and place the left foot flat near the right thigh while keeping the right leg extended. Inhale to lengthen the spine, then exhale and twist to the left by bringing the right elbow to the outside of the left knee while gazing over the left shoulder.","Maintain a long, straight spine and keep your hips squared; initiate the twist from the waist and ensure the left knee remains aligned with the ankle.","Left hip, obliques, and spinal rotation.","Feel a deep, balanced twist with a stretch along the left side of the torso and a release near the hip.","Adjust the twist depth if scoliosis limits your range of motion, keeping the movement controlled.",Use a block to assist if the elbow does not reach the knee comfortably.,"Improves spinal mobility, stimulates digestion, and enhances balanced core strength.",A well-balanced twist with even stretch on the left side confirms proper execution.
71,Marichyasana III,Right,"Sit on the floor with legs extended. Bend your right knee and place the right foot on the floor near the outer side of the left thigh while keeping the left leg extended. Inhale to lengthen the spine, then exhale and twist to the right. Bring your left elbow to the outside of your right knee while reaching your right hand behind your back.",Keep the spine long and the hips squared; ensure the right knee stays stable and the twist originates from the waist.,"Right hip, obliques, and spinal rotation.",Feel a deep twisting sensation along the right side with firm core engagement.,"If the right side is concave, gently deepen the twist; if convex, reduce the twist to avoid strain.",Use a yoga block between the left elbow and right knee if needed to moderate the intensity.,"Enhances spinal mobility, improves hip flexibility, and promotes balanced rotational strength.","A smooth, even twist without discomfort in the right hip and spine indicates proper form."
72,Marichyasana III,Left,"Sit on the floor with legs extended. Bend your left knee and place the left foot on the floor near the outer side of the right thigh while keeping the right leg extended. Inhale to lengthen the spine, then exhale and twist to the left. Bring your right elbow to the outside of your left knee while reaching your left hand behind your back.",Maintain an elongated spine and level hips; ensure the twist initiates from the waist without forcing the chest inward.,"Left hip, obliques, and spinal rotation.","Feel a deep, controlled twist along the left side with strong core support.","If the left side feels overly tense, adjust by reducing the twist slightly; if too lax, deepen the twist gently.",Use a block between the right elbow and left knee to assist if needed.,"Improves rotational flexibility, enhances hip mobility, and strengthens core muscles.","A balanced, smooth twist with even stretch on the left side indicates correct execution."
73,Ardha Matsyendrasana,Right,"Sit on the floor with legs extended. Bend your right knee and place the right foot on the floor near the outside of the left thigh. Bend the left knee and bring the left foot close to the right hip. Inhale to lengthen the spine, then exhale and twist to the right, using your left elbow against the outside of your right knee while your right hand rests behind you.",Keep the spine straight and the hips squared; initiate the twist from the waist while keeping the chest open.,"Right obliques, spine, and hip alignment.",Feel a deep twist along the torso with a stretching sensation in the right obliques and balanced core engagement.,"If the right side is concave, increase the twist slightly; if convex, ease the twist to prevent strain.",Support the twist with a cushion or block behind the back if necessary.,"Enhances spinal mobility, stimulates core strength, and promotes balanced rotation.","An even, controlled twist with balanced stretching and no discomfort indicates proper alignment."
74,Ardha Matsyendrasana,Left,"Sit on the floor with legs extended. Bend your left knee and place the left foot on the floor near the outside of the right thigh. Bend the right knee and bring the right foot close to the left hip. Inhale, then exhale and twist to the left, bringing your right elbow to the outside of your left knee while your left hand rests behind you.",Maintain an elongated spine and level hips; ensure the twist is smooth and originates from the waist.,"Left obliques, spine, and hip alignment.","Experience a deep, balanced twist with a pronounced stretch in the left obliques and core engagement.","If the left side is tight, gently deepen the twist; if overstraining occurs, ease the rotation.",Use a block to support the twist if needed and adjust knee positions for comfort.,"Improves spinal flexibility, strengthens the core, and promotes balanced rotational alignment.","A smooth, symmetrical twist with even tension along the left side confirms proper execution."
75,Parivrtta Janu Sirsasana,Right,"Sit on the floor with both legs extended. Bend the right knee and draw the right foot toward the inner left thigh. Inhale to lengthen the spine, then exhale and fold forward over the extended left leg while introducing a gentle twist to the right. Reach the right arm around the right leg and extend the left arm across the body.",Keep the spine long and the hips squared; ensure the twist is gradual and the right knee remains aligned.,"Right hamstrings, lower back, and mild spinal rotation.",Feel a deep stretch along the right hamstring combined with a gentle twist in the torso that activates the core.,"If the right side is concave, emphasize a deeper twist; if convex, avoid over-twisting to prevent strain.","Use a strap around the right foot if reaching it is challenging, or reduce the twist for a milder variation.","Enhances hamstring flexibility, improves gentle spinal rotation, and balances tension in the lower body.","A balanced, comfortable stretch with a mild twist and no discomfort in the right side indicates proper form."
76,Parivrtta Janu Sirsasana,Left,"Sit on the floor with both legs extended. Bend the left knee and draw the left foot toward the inner right thigh. Inhale to lengthen the spine, then exhale and fold forward over the extended right leg while incorporating a gentle twist to the left. Reach the left arm around the left leg and extend the right arm across the body.",Keep the spine long and the hips squared; ensure the left knee remains properly aligned with the extended leg.,"Left hamstrings, lower back, and mild spinal twist.",Feel a deep stretch along the left hamstring with a gentle twist in the torso that activates the core.,"If the left side is concave, emphasize a deeper twist; if convex, avoid over-twisting.","Use a strap around the left foot if reaching it is challenging, or reduce the twist for a milder variation.","Enhances hamstring flexibility, improves gentle spinal rotation, and balances tension in the lower body on the left side.","A balanced, comfortable stretch with a mild twist and no discomfort in the left side indicates proper form."
77,Janu Sirsasana,Right,"Sit on the floor with both legs extended. Bend the right knee and bring the right foot to rest near the inner left thigh. Inhale to lengthen the spine, then exhale and fold forward over the extended left leg.","Maintain a long, straight spine and level hips; avoid excessive rounding of the back.","Right hamstring, lower back, and hip stretch.","Feel a deep, even stretch along the right hamstring with a gentle release in the lower back.","If scoliosis affects the right side, adjust the forward fold to emphasize the more restricted side.","Use a strap around the right foot if reaching it is challenging, or keep a slight bend in the knee.","Improves hamstring and lower back flexibility, promotes spinal alignment, and aids relaxation on the right side.","A steady, balanced stretch with even tension on the right indicates proper execution."
78,Janu Sirsasana,Left,"Sit on the floor with both legs extended. Bend the left knee and bring the left foot to rest near the inner right thigh. Inhale to lengthen the spine, then exhale and fold forward over the extended right leg.",Keep the spine long and the hips level; ensure the left knee is properly aligned.,"Left hamstring, lower back, and hip.","Feel a deep, balanced stretch along the left hamstring with a gentle release in the lower back.","Adjust the forward bend depth if scoliosis causes asymmetry, emphasizing the more restricted side.",Use a strap if needed or maintain a slight knee bend.,"Enhances flexibility in the left leg, promotes balanced lower back release, and supports overall spinal alignment.","Even, symmetrical stretch on the left with no discomfort indicates proper execution."
79,Triang Mukhaikapada Paschimottanasana,Right,"Sit on the floor with both legs extended. Bend the right knee so that the right foot is placed against the inner thigh of the left leg. Inhale to lengthen the spine, then exhale and fold forward over the left leg, reaching toward the right foot with the right hand while the left hand supports the left leg.",Maintain a long spine and level hips; keep the bent right leg in alignment with the left leg.,"Right hamstring, left lower back, and hip.",Feel a deep stretch along the right hamstring and a balanced release in the left lower back.,"If scoliosis is present, adjust hand positioning to ensure an even stretch; if one side is tighter, modify the bend accordingly.",Use a strap around the right foot if needed or a cushion under the bent knee for support.,"Improves flexibility of the right leg, promotes balanced forward bending, and supports spinal alignment.","A controlled, even stretch with proper alignment in the right leg and left lower back indicates correct execution."
80,Triang Mukhaikapada Paschimottanasana,Left,"Sit on the floor with both legs extended. Bend the left knee so that the left foot is placed against the inner thigh of the right leg. Inhale to lengthen the spine, then exhale and fold forward over the right leg, reaching toward the left foot with the left hand while the right hand supports the right leg.",Keep the spine elongated and hips level; ensure the bent left leg remains aligned with the extended right leg.,"Left hamstring, right lower back, and hip.","Feel a deep, balanced stretch along the left hamstring with a gentle release in the right lower back.",Adjust the forward fold depth if scoliosis affects the left side; modify the hand position to maintain symmetry.,Use a strap around the left foot or a cushion under the knee for added support if necessary.,"Enhances flexibility in the left leg, supports balanced lower back release, and promotes overall spinal alignment.","A balanced, even stretch with proper alignment and no discomfort on the left indicates proper execution."
81,Vasisthasana,Right,"Begin in a forearm plank position. Shift your weight onto your right forearm and the outer edge of your right foot. Extend your left leg fully, keeping it either stacked on top of your right or slightly lifted. Optionally, raise your left arm for an added challenge.",Maintain a straight line from head to heels; ensure the right hip is stable and your body remains aligned. Keep your gaze forward to support balance.,"Right obliques, core, and lateral stability.","Feel strong activation in your right core and obliques with a deep, controlled stretch along the left side of the torso.","If scoliosis causes uneven tension, lower the left leg slightly to ease the stretch on the left side.",Practice near a wall for support or modify to a knee-supported side plank if full extension is too challenging.,"Enhances core strength, lateral balance, and overall stability on the right side.",A steady side plank with no hip drop and balanced muscle engagement confirms proper form.
82,Vasisthasana,Left,"Assume a side plank position on your left forearm. Shift your weight onto your left forearm and the outer edge of your left foot. Extend your right leg fully, either stacking it over your left or keeping it slightly raised. Optionally, raise your right arm to intensify the pose.",Keep a straight line from head to heels; ensure the left hip and shoulder are aligned and your torso remains engaged. Focus your gaze forward.,"Left obliques, core, and lateral stability.",Experience strong core activation on the left side with a pronounced stretch along the right side of the torso.,"If imbalance is noted due to scoliosis, lower the right knee to the mat to ease the load.","Practice against a wall or use a modified, knee-supported side plank until full strength is developed.","Improves core strength and lateral balance, promoting stability on the left side.",A well-aligned side plank with balanced muscle engagement and level hips indicates correct execution.
83,Utthita Hasta Padangusthasana,Right,"Stand in Tadasana and shift your weight onto your right leg. Lift your right leg and, using a yoga strap if necessary, grasp your right big toe with your right hand while extending the leg forward. Let your left hand rest on your hip for balance.",Keep your torso upright with a straight spine; ensure your right knee is stable and the extended leg is parallel to the floor.,"Right leg flexibility, core stability, and hamstring stretch.",Feel a deep stretch in the right hamstring and calf along with firm core engagement.,"If scoliosis causes imbalance, adjust the height of the leg lift or use a strap to reduce excessive tension.",Practice near a wall for additional support or modify by slightly bending the supporting leg.,"Enhances leg flexibility, improves balance, and strengthens the core for better overall posture.","A controlled, even leg extension with stable core engagement indicates proper form."
84,Utthita Hasta Padangusthasana,Left,"From Tadasana, shift your weight onto your left leg. Lift your left leg and, using a yoga strap if needed, grasp your left big toe with your left hand while extending the leg forward. Allow your right hand to rest on your hip.",Maintain an upright posture with a long spine; ensure your left knee remains stable and the extended leg is parallel to the floor.,"Left leg flexibility, core stability, and hamstring stretch.",Experience a pronounced stretch in the left hamstring and calf with active core support.,"If imbalance is evident due to scoliosis, adjust the leg lift or use a strap to ensure a moderate stretch.",Use a wall for support or modify by slightly bending the supporting leg to improve stability.,"Improves left leg flexibility, enhances core strength, and promotes balanced posture.","A stable, straight leg lift with even core engagement and no hip drop indicates correct execution."
85,Natarajasana,Right,"Stand in Tadasana and shift your weight onto your right leg. Bend your right knee and, with your right hand, reach back to grasp your right ankle. Simultaneously, extend your left arm forward for balance as you gently arch your torso to open your chest.","Keep your standing leg engaged and ensure your hips remain level; maintain a long, straight spine and gaze forward to support balance.","Right hip flexibility, leg strength, and chest opening.",Feel a deep stretch in the right hip flexor and thigh with an uplifting opening of the chest and controlled balance.,"If scoliosis affects symmetry, modify the backbend intensity or adjust the reach to maintain balance.",Use a wall for support or hold a strap around the right ankle if reaching it is challenging.,"Enhances balance, increases flexibility in the right hip and thigh, and opens the chest for improved posture.","A controlled, balanced pose with a deep, even stretch on the right side and stable support on the right leg indicates proper form."
86,Natarajasana,Left,Stand in Tadasana and shift your weight onto your left leg. Bend your left knee and reach your left hand back to grasp your left ankle while extending your right arm forward for balance.,"Keep your left hip stable, the chest open, and maintain a long, aligned spine. Ensure the left knee stays directly above the ankle.","Left hip flexibility, leg strength, and chest opening.",Feel a deep stretch in the left hip flexor and thigh with an uplifting opening of the chest.,"If scoliosis affects the left side, reduce the intensity of the backbend or use a yoga strap for support.",Use a wall for balance or a yoga strap around the left ankle if needed.,"Enhances left leg flexibility, improves balance, and opens the chest for better posture.","A controlled, balanced pose with an even stretch on the left side indicates proper form."
87,Vrksasana,Right,Stand in Tadasana and shift your weight onto your right leg. Place your right foot on your inner right calf or thigh (avoiding the knee). Bring your hands into prayer at your chest and focus your gaze on a fixed point.,Ensure your hips remain level and your core is engaged; keep the standing leg strong and your gaze steady.,"Right leg strength, core stability, and balance.","Feel a firm, stable engagement in your right leg with a balanced core.","If scoliosis affects balance, adjust the foot placement slightly or lower the raised foot.",Use a wall for support if needed.,"Improves balance, strengthens the right leg, and enhances core stability.",A steady pose with level hips and stable support on the right leg confirms proper execution.
88,Vrksasana,Left,Stand in Tadasana and shift your weight onto your left leg. Place your left foot on your inner left calf or thigh (avoiding the knee). Bring your hands together in prayer at your chest and fix your gaze forward.,Keep your hips level and your core engaged; ensure the standing leg is strong and stable.,"Left leg strength, balance, and core stability.",Feel solid support in your left leg with active core engagement.,"If necessary due to scoliosis, adjust foot placement or use support to maintain balance.",Use a wall or chair nearby for support if needed.,"Enhances balance, strengthens the left leg, and improves overall stability.",A stable stance with balanced weight distribution and level hips confirms proper form.
